醫事機構代碼,醫事機構名稱,醫事機構地址,經度,緯度,醫事機構電話,廠牌項目,快篩試劑截至目前結餘存貨數量,來源資料時間,備註
2344030022,澎湖縣白沙鄉鳥嶼衛生所,澎湖縣白沙鄉鳥嶼村漁港新村３號,119.6599,23.66008,(06)9916092,羅氏家用新冠病毒抗原自我檢測套組,128,2022/05/09 08:09:02,非上班時間提供急診服務
2344030031,澎湖縣白沙鄉吉貝衛生所,澎湖縣白沙鄉吉貝村８－１３號,119.6138,23.74056,(06)9911430,羅氏家用新冠病毒抗原自我檢測套組,188,2022/05/09 08:09:02,無
2344050024,澎湖縣望安鄉將軍衛生所,澎湖縣望安鄉將軍村１２鄰將軍澳１之３號,119.5216,23.3615,(06)9902066,羅氏家用新冠病毒抗原自我檢測套組,60,2022/05/09 08:09:02,24小時急診
2344060011,澎湖縣七美鄉衛生所,澎湖縣七美鄉中和村埔內５４號,119.431,23.2041,(06)9971005,羅氏家用新冠病毒抗原自我檢測套組,72,2022/05/09 08:09:02,無
2345080017,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,121.5215,23.60195,(03)8358141,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,*本院口罩每天販售，時間自上午8點至晚上9點  *本院週一至週五上下午皆有門診，星期六隔週提供門診，及24小時急診。
2345110010,花蓮縣秀林鄉衛生所,花蓮縣秀林鄉秀林村１２鄰秀林路８８號,121.6334,24.1269,(03)8612122,羅氏家用新冠病毒抗原自我檢測套組,156,2022/05/09 08:09:02,口罩代售時間上班日上午8:10至12時止（口罩限量故售完為止）
2345120016,花蓮縣萬榮鄉衛生所,花蓮縣萬榮鄉萬榮村１鄰１６號,121.4092,23.71558,(03)8751651,羅氏家用新冠病毒抗原自我檢測套組,26,2022/05/09 08:09:02,快篩試劑代售時間：週一至週五下午2點至下午4點，販售為止。
2346020015,台東縣成功鎮衛生所,臺東縣成功鎮忠仁里中山東路６４號,121.3789,23.10003,(089)851419,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,5月7日上午8:30發號碼牌9:00開賣
2346070015,臺東縣東河鄉衛生所,臺東縣東河鄉東河村南東河路１０鄰３００號,121.3031,22.96846,(089)896289,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,快篩試劑販售時間:◆平日（星期一三四五）上午9-11時販售，星期二下午13-15時販售售完為止。
2346110014,台東縣綠島鄉衛生所,臺東縣綠島鄉中寮村１－１號,121.4696,22.67319,(089)672511,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,家用快篩實名制，販售時段為上午08:30至12:00，下午13:30至16:30（周一至周五），售完為止。）
2346120010,台東縣延平鄉衛生所,臺東縣延平鄉桃源村昇平路１１號,121.0855,22.90217,(089)561358,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,星期一至星期五上午8:00-11:00下午13:30-16:30販售快篩試劑現場一卡一號78號收完卡即完售，遇國定假日休息
2346130016,台東縣海端鄉衛生所,臺東縣海端鄉海端村３鄰２９號,121.1767,23.10094,(089)931391,羅氏家用新冠病毒抗原自我檢測套組,156,2022/05/09 08:09:02,星期一至星期五家用快篩試劑販售時間上午10點~12點（售完為止）
2346140012,台東縣達仁鄉衛生所,臺東縣達仁鄉安朔村復興路１２２號,120.8836,22.29488,(089)702209,羅氏家用新冠病毒抗原自我檢測套組,72,2022/05/09 08:09:02,12／31 元旦連假
2346150018,台東縣金峰鄉衛生所,臺東縣金峰鄉賓茂村１鄰１４號,120.9606,22.53248,(089)772201,羅氏家用新冠病毒抗原自我檢測套組,156,2022/05/09 08:09:02,快篩試劑販售時間為星期一至星期五，早上8:30~12:00；下午1:30~5:00
2346160014,台東縣蘭嶼鄉衛生所,臺東縣蘭嶼鄉紅頭村３６號,121.5546,22.02493,(089)732575,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,販售口罩時間 星期一至星期五 8:00~12:00 13:30~17:30
2390040518,金門縣金寧鄉衛生所,金門縣金寧鄉盤山村仁愛新屯２之１號,118.3374,24.44479,(082)325735,羅氏家用新冠病毒抗原自我檢測套組,43,2022/05/09 08:09:02,購買快篩實名制週一至週五上班日上午8:00開始依排隊發放號碼牌，每日78份，售完即止
2391020010,連江縣北竿鄉衛生所,連江縣北竿鄉塘岐村２８１－６號,119.9991,26.22617,(083)655592,羅氏家用新冠病毒抗原自我檢測套組,11,2022/05/09 08:09:02,新冠快篩試劑販售於週一至周六每日上午08:30-12:00開放購買。
2391030016,連江縣莒光鄉西莒衛生所,連江縣莒光鄉青帆村１４－１號,119.9331,25.97157,(083)689122,羅氏家用新冠病毒抗原自我檢測套組,306,2022/05/09 08:09:02,防疫口罩星期一至五09:00-17:00、（六）09:00-12:00現場購買
2391030026,連江縣莒光鄉東莒衛生所,連江縣莒光鄉大坪村３０－１號,119.9731,25.96113,(083)689038,羅氏家用新冠病毒抗原自我檢測套組,434,2022/05/09 08:09:02,防疫口罩星期一至星期日上午10:00-12:00收取健保卡，下午3:30至本所領取口罩。
5901010076,榮星藥局,臺北市松山區南京東路４段１３３巷５弄１號,121.5552,25.05214,(02)27124696,羅氏家用新冠病毒抗原自我檢測套組,30,2022/05/09 08:09:02,無
5901010165,傑安藥局,臺北市松山區八德路２段４３７巷７弄８號１樓,121.5473,25.04914,(02)27524155,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,9:30開始發號碼牌
5901010290,健全藥局,臺北市松山區民權東路３段１０３巷２０號,121.5449,25.06327,(02)27128293,羅氏家用新冠病毒抗原自我檢測套組,5,2022/05/09 08:09:02,無
5901011975,萬泰藥局,臺北市松山區敦化北路２２２巷３８號,121.5471,25.05994,(02)27135891,羅氏家用新冠病毒抗原自我檢測套組,15,2022/05/09 08:09:02,每日早上9.00販售快篩試劑
5901012409,家音藥局,臺北市松山區民生東路５段７３號,121.5585,25.05871,(02)37652080,羅氏家用新冠病毒抗原自我檢測套組,2,2022/05/09 08:09:02,實名制快篩販售時段公告，請追蹤美康健保藥局 家音店 FB粉絲頁，謝謝~
5901012516,惠登藥局,臺北市松山區民生東路３段１３０巷３４號,121.5461,25.0562,(02)25472432,羅氏家用新冠病毒抗原自我檢測套組,28,2022/05/09 08:09:02,實名制快篩週一到週五下午2點販售
5901012712,立康大藥局,臺北市松山區八德路四段２－１號,121.5581,25.04812,(02)27471749,羅氏家用新冠病毒抗原自我檢測套組,11,2022/05/09 08:09:02,快篩時間：周一～周五9:30-14:00，18:00-21:30。周六10:30-12:30，18:00-20:00。周日暫停販售。如有修正以店面公告為主
5901012749,躍獅松和藥局,臺北市松山區八德路四段６６６－１號,121.5761,25.04979,(02)27492569,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,實名制快篩販售時段，每日下午4點販售，售完為止
5901012963,綠之家藥局,臺北市松山區延壽街４２８號,121.5562,25.0562,(02)25289595,羅氏家用新冠病毒抗原自我檢測套組,144,2022/05/09 08:09:02,禮拜日不販售快篩
5901013095,康采藥局,臺北市松山區南京東路５段２９１巷１７－２號,121.5663,25.05236,(02)27670271,羅氏家用新冠病毒抗原自我檢測套組,16,2022/05/09 08:09:02,（已完售，庫存不準）快篩試劑每日16點販售，週日沒有販售
5901013120,誠康中西藥局,臺北市松山區南京東路５段５９巷３１弄４３號,121.5607,25.05346,(02)27619679,羅氏家用新冠病毒抗原自我檢測套組,28,2022/05/09 08:09:02,禮拜一到六早上7點發號碼牌，到貨時會用社群通知大家來取貨
5901013451,新德大藥局,臺北市松山區饒河街２０４號,121.577,25.05074,(02)27673402,羅氏家用新冠病毒抗原自我檢測套組,51,2022/05/09 08:09:02,周一至周六上午九點開賣；快篩實名制（周日休息）
5901013595,巧心藥局,臺北市松山區八德路３段１２巷５７弄３９之３號１樓,121.5521,25.04567,(02)25703728,羅氏家用新冠病毒抗原自我檢測套組,49,2022/05/09 08:09:02,快篩試劑14:00販售，售完為止．
5901013620,躍獅敦北藥局,臺北市松山區民生東路４段８０巷５號１樓,121.5531,25.05713,(02)27155691,羅氏家用新冠病毒抗原自我檢測套組,100,2022/05/09 08:09:02,實名制快篩販售時間PM14:30 本店會預留28份供及人大廈住戶購買 剩餘數量供現場民眾排隊購買（14:30開始販購）
5901013693,民生盛康藥局,臺北市松山區民生東路５段２０４號１樓,121.5648,25.05826,(02)27460758,羅氏家用新冠病毒抗原自我檢測套組,83,2022/05/09 08:09:02,【5／8不發放】每日早上9:00發號碼牌，11:00~20:00拿號碼牌回來領取，每人限1張號碼牌，逾時不候
5901020563,施寶藥局,臺北市大安區安東街５０－５號１樓,121.5426,25.04277,(02)27114175,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,週一至週五早上11點到下午8點.周六周日及公訂例假日公休快篩早上11點開始銷售直到配額售完為止
5901020616,龍護大藥局,臺北市大安區大安路１段２２４巷７號１Ｆ,121.5454,25.03401,(02)23250686,羅氏家用新冠病毒抗原自我檢測套組,57,2022/05/09 08:09:02,無
5901020858,順天堂藥局,臺北市大安區龍泉街９６號,121.5292,25.02256,(02)23627149,羅氏家用新冠病毒抗原自我檢測套組,42,2022/05/09 08:09:02,實名制快篩早上9:30開始發放，每日78份，發完為止。禮拜日公休
5901020876,大興藥局,臺北市大安區通化街３９巷５０弄１５號１樓,121.5555,25.03056,(02)27053369,羅氏家用新冠病毒抗原自我檢測套組,14,2022/05/09 08:09:02,快篩試劑販售時間自08:30開始，現場排隊。（週日休息）
5901021248,永誠藥局,臺北市大安區忠孝東路４段２１６巷２５之１號,121.5531,25.03997,(02)27520273,羅氏家用新冠病毒抗原自我檢測套組,98,2022/05/09 08:09:02,上午9:30發放（不發號碼牌）
5901021382,建如藥局,臺北市大安區和平東路３段２２８巷１１號１Ｆ,121.5543,25.02174,(02)27331456,羅氏家用新冠病毒抗原自我檢測套組,156,2022/05/09 08:09:02,8:00先領取號碼牌並收取健保卡 .9:00後才領回健保卡及快篩 星期日休息
5901023073,世中欣藥局,臺北市大安區永康街２巷８號,121.5294,25.03315,(02)23938947,羅氏家用新冠病毒抗原自我檢測套組,4,2022/05/09 08:09:02,健保快篩：周一至周五， 早上10點開始販售。週六下午2點販售。週日停售.。
5901023313,安和藥局,臺北市大安區安和路１段１０２巷３號,121.5519,25.03433,(02)27092349,羅氏家用新冠病毒抗原自我檢測套組,2,2022/05/09 08:09:02,平日下午三點開始販賣賣完 78份結束
5901024114,好安心藥局,臺北市大安區和平東路２段９８之２號,121.5415,25.02493,(02)23772166,羅氏家用新冠病毒抗原自我檢測套組,15,2022/05/09 08:09:02,快篩發放: 週一至週六 15:30現場開始販售（人滿提早發售），不發號碼牌。
5901024516,博昱師大藥局,臺北市大安區羅斯福路３段１８９號,121.5281,25.02109,(02)23696966,羅氏家用新冠病毒抗原自我檢測套組,47,2022/05/09 08:09:02,實名制快篩販售時間為下午14:00~15:30
5901024543,奇威藥局,臺北市大安區雲和街９３號,121.5312,25.02338,(02)23651110,羅氏家用新冠病毒抗原自我檢測套組,44,2022/05/09 08:09:02,無
5901024669,百岳藥局,臺北市大安區和平東路２段３１１巷１１號,121.5452,25.02514,(02)27551037,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,快篩試劑販售時間:周一至周五10:30~12:00止
5901024918,康祥藥局,臺北市大安區忠孝東路４段２１６巷２１號,121.5531,25.04025,(02)27817891,羅氏家用新冠病毒抗原自我檢測套組,79,2022/05/09 08:09:02,星期天11:00-19:00
5901024954,佑全大安敦南藥局,臺北市大安區敦化南路２段６３巷４６號,121.5512,25.03089,(02)23257579,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,早上10點發放號碼牌，同時開始販賣實名制快篩
5901024981,專品六張犁藥局,臺北市大安區基隆路２段２１７號１樓,121.5513,25.02299,(02)87322226,羅氏家用新冠病毒抗原自我檢測套組,52,2022/05/09 08:09:02,無
5901025004,早安藥局,臺北市大安區建國南路２段１５１巷４２號１樓,121.5396,25.02865,(02)27002209,羅氏家用新冠病毒抗原自我檢測套組,71,2022/05/09 08:09:02,快篩早上9點發號碼牌留卡下午2點領取
5901090074,慈仁藥局,臺北市大同區歸綏街２６１號１樓,121.5101,25.05832,(02)25572733,羅氏家用新冠病毒抗原自我檢測套組,46,2022/05/09 08:09:02,平日營業至晚上6點，星期六營業至下午2點，星期日公休
5901090154,柯藥局,臺北市大同區重慶北路３段３３５巷６號,121.5144,25.07452,(02)25948515,羅氏家用新冠病毒抗原自我檢測套組,93,2022/05/09 08:09:02,库存已零如何歸零
5901090323,泰元藥局,臺北市大同區哈密街９１號,121.5146,25.07303,(02)25914592,羅氏家用新冠病毒抗原自我檢測套組,40,2022/05/09 08:09:02,無
5901090341,正中藥局,臺北市大同區民族西路２１３號,121.5142,25.06874,(02)25976937,羅氏家用新冠病毒抗原自我檢測套組,1,2022/05/09 08:09:02,無
5901091544,得意藥師藥局,臺北市大同區延平北路２段２２９號,121.5115,25.06029,(02)25534294,羅氏家用新冠病毒抗原自我檢測套組,7,2022/05/09 08:09:02,無
5901091884,躍獅雙蓮藥局,臺北市大同區涼州街４號,121.5147,25.06078,(02)25537551,羅氏家用新冠病毒抗原自我檢測套組,49,2022/05/09 08:09:02,實名制快篩：平日週一～五 下午３點開賣 （六、日停售）
5901092087,躍獅文昌藥局,臺北市大同區民生西路１０８號（實際營業：一層）,121.5197,25.0574,(02)25586189,羅氏家用新冠病毒抗原自我檢測套組,72,2022/05/09 08:09:02,無
5901100066,名祥藥局,臺北市中山區龍江路１６６號,121.5403,25.05505,(02)25036265,羅氏家用新冠病毒抗原自我檢測套組,45,2022/05/09 08:09:02,實名制快篩代售時間為早上08:00＜售完為止＞
5901100155,大信藥局,臺北市中山區林森北路１５９巷６號,121.5255,25.0517,(02)25719080,羅氏家用新冠病毒抗原自我檢測套組,1,2022/05/09 08:09:02,無
5901100422,滿順藥局,臺北市中山區伊通街５４號１樓,121.5347,25.05145,(02)25075283,羅氏家用新冠病毒抗原自我檢測套組,146,2022/05/09 08:09:02,快篩服務時間 AM 8:30 起 售完為止
5901100628,貢玄藥局,臺北市中山區錦州街２０７號,121.532,25.06039,(02)25637847,羅氏家用新冠病毒抗原自我檢測套組,18,2022/05/09 08:09:02,早上10點~11點領口罩
5901101509,永直藥局,臺北市中山區北安路５９５巷２弄６號,121.5483,25.08192,(02)85098059,羅氏家用新冠病毒抗原自我檢測套組,156,2022/05/09 08:09:02,周一至周六早上8點發號碼牌，下午2點到晚上8點販售（拿號碼牌來買），周日不販售
5901101536,展佑藥局,臺北市中山區長春路１４６－１號,121.5317,25.05473,(02)25232803,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,實名制快篩試劑上午11:30開始販售，週日休息!
5901101607,蓁榛健康生活藥局,臺北市中山區合江街１００－２號１樓,121.5391,25.05845,(02)25099333,羅氏家用新冠病毒抗原自我檢測套組,18,2022/05/09 08:09:02,實名制快篩配售時間依到貨時間而定，請參考蓁榛健康生活藥局合江店臉書公告
5901101992,大愛藥師藥局,臺北市中山區吉林路２５５號１樓,121.5304,25.06165,(02)25424723,羅氏家用新冠病毒抗原自我檢測套組,120,2022/05/09 08:09:02,週一~週五13:55發放號碼牌14:00發放快篩，週六、週日休息
5901102015,久大藥局,臺北市中山區林森北路４８０號,121.5255,25.06127,(02)25111594,羅氏家用新冠病毒抗原自我檢測套組,29,2022/05/09 08:09:02,即日起周一至周六下午1:00-4:00領取口罩。 周日休息
5901102060,專心藥局,臺北市中山區伊通街１１２－２號,121.5347,25.05426,(02)25155847,羅氏家用新冠病毒抗原自我檢測套組,64,2022/05/09 08:09:02,無
5901102579,躍獅晴光藥局,臺北市中山區農安街２３之２號,121.5245,25.06501,(02)25951393,羅氏家用新冠病毒抗原自我檢測套組,3,2022/05/09 08:09:02,實名制快篩販售時間17:00，售完會提前結束
5901102631,金生藥局,臺北市中山區長安東路２段１６７－１號,121.5407,25.04843,(02)87729808,羅氏家用新冠病毒抗原自我檢測套組,102,2022/05/09 08:09:02,販售實名制快篩時間為週一~週六早上09:00開始（售完為止）
5901102686,富宥康藥局,臺北市中山區北安路６０８巷５弄２２號,121.5496,25.08263,(02)25325277,羅氏家用新冠病毒抗原自我檢測套組,2,2022/05/09 08:09:02,無
5901103209,麗恩藥局,臺北市中山區林森北路５７５之５號,121.5258,25.0653,(02)25981982,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,中午12點發放號碼牌
5901103227,建誠中西藥局,臺北市中山區龍江路３８５之１號,121.541,25.06511,(02)25158608,羅氏家用新冠病毒抗原自我檢測套組,22,2022/05/09 08:09:02,實名制快篩發放時間 週一至週六13:00-14:00
5901103334,大直小太陽藥局,臺北市中山區北安路６０７之１號,121.5488,25.08241,(02)85093208,羅氏家用新冠病毒抗原自我檢測套組,39,2022/05/09 08:09:02,無
5901103352,美康正康藥局,臺北市中山區北安路６１６之１號、６１８號２樓之１,121.549,25.08243,(02)25323077,羅氏家用新冠病毒抗原自我檢測套組,9,2022/05/09 08:09:02,5月實名制快篩:14:30~售完
5901103558,佳頤中西藥局,臺北市中山區長春路１４７之１號,121.5323,25.05495,(02)25641479,羅氏家用新冠病毒抗原自我檢測套組,75,2022/05/09 08:09:02,實名制快篩販售時間為下午1點起，售完為止，其他販售細節以店內公告為主
5901103736,杏一龍錦藥局,臺北市中山區龍江路２７９號１樓,121.5408,25.05973,(02)25174618,羅氏家用新冠病毒抗原自我檢測套組,76,2022/05/09 08:09:02,快篩提供時段週一到週六 9:00-12:00 週日不提供發放!!! 不發號碼牌 每日販售78人次 售完為止＞＜
5901103754,永育康暉藥局,臺北市中山區樂群二路２１０之２號１樓,121.5593,25.07952,(02)85012227,羅氏家用新冠病毒抗原自我檢測套組,1,2022/05/09 08:09:02,快篩試劑8:30開始販售，賣完為止
5901103772,興耀生活藥局,臺北市中山區林森北路４０５號（１樓）,121.5257,25.05943,(02)25818210,羅氏家用新冠病毒抗原自我檢測套組,67,2022/05/09 08:09:02,國定假日仍執行調劑業務
5901110268,赫得藥局,臺北市內湖區康樂街７２巷１７弄４號１Ｆ,121.6178,25.06976,(02)26328642,羅氏家用新冠病毒抗原自我檢測套組,34,2022/05/09 08:09:02,每周日公休。快篩試劑於周一至周六，早上8:30開賣（賣完為止）。
5901112593,康健藥局,臺北市內湖區康樂街８０號,121.6189,25.07015,(02)26305825,羅氏家用新冠病毒抗原自我檢測套組,79,2022/05/09 08:09:02,無
5901112824,思恩藥局,臺北市內湖區成功路４段６１巷２６號,121.5932,25.08121,(02)27965808,羅氏家用新冠病毒抗原自我檢測套組,7,2022/05/09 08:09:02,快篩販售時間:禮拜一~五 14:00~17:00
5901112879,壹零捌藥局,臺北市內湖區成功路４段３４４號,121.5996,25.08488,(02)27910061,羅氏家用新冠病毒抗原自我檢測套組,1,2022/05/09 08:09:02,快篩晚上7:30開始販售（星期一至星期六）
5901113018,桔子藥局,臺北市內湖區內湖路２段３３３號,121.5917,25.08319,(02)27930052,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,早0900-1200，午1400-1700，晚1900-2100
5901113027,晟安藥局,臺北市內湖區金龍路１３５號,121.5902,25.08593,(02)87919320,羅氏家用新冠病毒抗原自我檢測套組,77,2022/05/09 08:09:02,快篩一~六早上10；00開始販售，星期日不營業
5901113205,新安健保藥局,臺北市內湖區新明路４０２號,121.5797,25.05466,(02)27932289,羅氏家用新冠病毒抗原自我檢測套組,3,2022/05/09 08:09:02,快篩實名制9:10開始販售，現場排隊售完為止
5901113296,喜越藥局,臺北市內湖區內湖路１段２８５巷５９弄７號,121.5673,25.08377,(02)26271955,羅氏家用新冠病毒抗原自我檢測套組,57,2022/05/09 08:09:02,無
5901113367,瑞暉藥局,臺北市內湖區文德路１０５號,121.5837,25.0787,(02)26276828,羅氏家用新冠病毒抗原自我檢測套組,78,2022/05/09 08:09:02,營業時間: 09:00~22:00
5901113509,安安藥局,臺北市內湖區康寧路１段４號１樓,121.5912,25.08057,(02)87912187,羅氏家用新冠病毒抗原自我檢測套組,18,2022/05/09 08:09:02,快篩時段9:00-9:30；營業時段8:30~22:30
5901113563,耀元藥局,臺北市內湖區康樂街１５０號,121.6192,25.07263,(02)26337369,羅氏家用新冠病毒抗原自我檢測套組,39,2022/05/09 08:09:02,週一至週六實名制快篩下午兩點販售，依現場排隊順序購買，沒有發放號碼牌。週日無販售。特殊情況依現場公告為主。
